date,open,high,low,close,volume,pct_change,target,symbol
31-07-2008,571,585,565,578,715753,0.025004433,1,ADANIPORTS
01-08-2008,570,584,555.55,576.25,658570,-0.003027682,0,ADANIPORTS
04-08-2008,576,597.9,571.15,585.05,527239,0.01527115,1,ADANIPORTS
05-08-2008,585.05,600,580,587,522809,0.003333048,1,ADANIPORTS
06-08-2008,600.5,605.4,570,576.65,494133,-0.017632027,0,ADANIPORTS
07-08-2008,576.65,590,571.3,573.75,510311,-0.005029047,0,ADANIPORTS
08-08-2008,570,590.7,565,581.55,565925,0.013594771,1,ADANIPORTS
11-08-2008,590,602,584.25,591,505730,0.016249678,1,ADANIPORTS
12-08-2008,592,633.5,591.05,626.5,2196252,0.060067682,1,ADANIPORTS
13-08-2008,620,637,607,614.75,823967,-0.018754988,0,ADANIPORTS
14-08-2008,615,618.95,565.25,572.3,524090,-0.06905246,0,ADANIPORTS
18-08-2008,575.1,588.8,566,573.75,267398,0.002533636,1,ADANIPORTS
19-08-2008,574,579.4,559.05,568.9,198592,-0.008453159,0,ADANIPORTS
20-08-2008,572,584,572,580.15,219629,0.019775004,1,ADANIPORTS
21-08-2008,580,581,562,564.35,198200,-0.027234336,0,ADANIPORTS
22-08-2008,565,579.5,560,575.9,257000,0.020466023,1,ADANIPORTS
25-08-2008,589.8,596.3,579,582.2,413765,0.010939399,1,ADANIPORTS
26-08-2008,575.25,578,566,568.65,205317,-0.023273789,0,ADANIPORTS
27-08-2008,574,576.5,557.1,560.8,187926,-0.013804625,0,ADANIPORTS
28-08-2008,551.65,574.9,551.65,557.55,310199,-0.005795292,0,ADANIPORTS
29-08-2008,567,581,567,577.25,280056,0.035333154,1,ADANIPORTS
01-09-2008,574.9,595,570.3,591.05,559722,0.023906453,1,ADANIPORTS
02-09-2008,595.1,604.8,586.25,590.65,498792,-0.000676762,0,ADANIPORTS
04-09-2008,586,591,578,583.8,173765,-0.011597393,0,ADANIPORTS
05-09-2008,575,584.7,568.2,570.75,192519,-0.022353546,0,ADANIPORTS
08-09-2008,588.8,594,576.9,580.15,225668,0.016469558,1,ADANIPORTS
09-09-2008,580,585.8,575,580.45,181819,0.000517108,1,ADANIPORTS
10-09-2008,576,602,575.05,589.65,517234,0.015849772,1,ADANIPORTS
11-09-2008,583,596.8,575.35,579.6,280981,-0.017044009,0,ADANIPORTS
12-09-2008,581,584.95,558.05,562.75,170293,-0.029071774,0,ADANIPORTS
15-09-2008,550,555,510.1,535.75,314196,-0.047978676,0,ADANIPORTS
16-09-2008,530.25,544.5,515.4,538.35,220585,0.00485301,1,ADANIPORTS
17-09-2008,544.95,545.8,484,493.65,324750,-0.083031485,0,ADANIPORTS
18-09-2008,476,476,445,454.75,665699,-0.07880077,0,ADANIPORTS
19-09-2008,499.95,499.95,452,456.4,626712,0.003628367,1,ADANIPORTS
22-09-2008,461,477.65,439,443.85,728653,-0.027497809,0,ADANIPORTS
23-09-2008,439,454.9,421,442.55,412444,-0.002928917,0,ADANIPORTS
24-09-2008,453,453,441.05,446.9,384977,0.009829398,1,ADANIPORTS
25-09-2008,448,449,438,439.95,142088,-0.015551578,0,ADANIPORTS
26-09-2008,429.5,441.9,429,430.95,198455,-0.02045687,0,ADANIPORTS
29-09-2008,435,445,407.05,422.85,347497,-0.018795684,0,ADANIPORTS
