date,open,high,low,close,volume,pct_change,target,symbol,MA5,MA10,MA20,Volatility,RSI,lag_close_1,lag_pct_1
02-06-2008,0.023568908,0.024417206,0.023153397,0.023031522,0.001765204,-0.031123482,0.0,ADANIPORTS,0.02491912,0.02594968,0.025197196,0.003462156,0.442674722,790.4,-0.053243098
03-06-2008,0.021936753,0.022711214,0.022330836,0.022227938,0.001107654,-0.034473753,0.0,ADANIPORTS,0.024098269,0.025503858,0.025173755,0.004281888,0.428894506,765.8,-0.031123482
04-06-2008,0.021966701,0.022286956,0.021064647,0.021095614,0.000796337,-0.050311063,0.0,ADANIPORTS,0.023245787,0.024890062,0.025086708,0.005013685,0.393746947,739.4,-0.034473753
05-06-2008,0.020738842,0.0208887,0.019303996,0.019736522,0.0014883,-0.063585873,0.0,ADANIPORTS,0.022156846,0.024190894,0.024913319,0.005982047,0.352674624,702.2,-0.050311063
06-06-2008,0.019807466,0.020062593,0.019300916,0.019190145,0.001181541,-0.027298304,0.0,ADANIPORTS,0.021230663,0.023531176,0.024691562,0.006818834,0.35058229,657.55,-0.063585873
09-06-2008,0.018313071,0.018411873,0.017954627,0.018368297,0.000958991,-0.042213884,0.0,ADANIPORTS,0.020289739,0.022684068,0.024424093,0.00706807,0.136758999,639.6,-0.027298304
10-06-2008,0.017690157,0.018198251,0.017606502,0.017657551,0.001075178,-0.038116226,0.0,ADANIPORTS,0.019367548,0.021809375,0.02408294,0.007076302,0.089017646,612.6,-0.042213884
11-06-2008,0.01765422,0.018573211,0.018074776,0.018200884,0.00159722,0.030292745,1.0,ADANIPORTS,0.018783463,0.021088478,0.023792655,0.006652838,0.135706779,589.25,-0.038116226
12-06-2008,0.017651225,0.017766524,0.017298426,0.017786916,0.001052042,-0.022401581,0.0,ADANIPORTS,0.018390081,0.020344619,0.023486821,0.005809797,0.142110332,607.1,0.030292745
13-06-2008,0.017519455,0.018080235,0.017982353,0.0179939,0.001063389,0.011457456,1.0,ADANIPORTS,0.018148708,0.019758717,0.023189035,0.004977617,0.073264973,593.5,-0.022401581
16-06-2008,0.018013593,0.01882418,0.018409038,0.018620939,0.002000031,0.034316175,1.0,ADANIPORTS,0.018199685,0.019312124,0.022947274,0.003880897,0.132058952,600.3,0.011457456
17-06-2008,0.018343019,0.018673299,0.018592342,0.018916196,0.000720991,0.015622483,1.0,ADANIPORTS,0.018453649,0.018976794,0.022551189,0.002671096,0.171557914,620.9,0.034316175
18-06-2008,0.018630518,0.019397823,0.018999002,0.01886445,0.001443472,-0.002695845,0.0,ADANIPORTS,0.01858754,0.018750878,0.022125412,0.0016782,0.173974988,630.6,0.015622483
19-06-2008,0.018253176,0.019248437,0.018578479,0.019480836,0.001557312,0.032199078,1.0,ADANIPORTS,0.018929331,0.018724989,0.02175777,0.001553479,0.257843305,628.9,-0.002695845
20-06-2008,0.019326804,0.01945459,0.018838803,0.018722909,0.001489069,-0.038357853,0.0,ADANIPORTS,0.019076427,0.018677679,0.02139927,0.001447023,0.257578352,649.15,0.032199078
23-06-2008,0.018313071,0.01823261,0.017053507,0.017103565,0.001745794,-0.085222267,0.0,ADANIPORTS,0.018770258,0.018549619,0.020904809,0.001818607,0.235921569,624.25,-0.038357853
24-06-2008,0.016921996,0.017336291,0.017112041,0.017032034,0.001399735,-0.004115226,0.0,ADANIPORTS,0.018390081,0.018486282,0.020429179,0.002043691,0.264882001,571.05,-0.085222267
